yr.top;yr.btm;yr.mean;yr.top.BP;yr.btm.BP;yr.BP.mean;yr.interval;d18O;D17O;d15N;NO3
1838;1696;1767;112;254;183;142;0.064;0.0314;0.2354;8.3
1696;1531;1613.5;254;419;336.5;165;0.0591;0.03;0.2734;9.1
1531;1427;1479;419;523;471;104;0.0573;0.0295;0.2733;10.3
1427;1318;1372.5;523;632;577.5;109;0.0563;0.0294;0.2729;12
1318;1226;1272;632;724;678;92;0.0549;0.029;0.2754;15.8
1226;1128;1177;724;822;773;98;0.0595;0.0294;0.2612;10.7
1128;1029;1078.5;822;921;871.5;99;0.0578;0.0302;0.2748;13.4
1029;927;978;921;1023;972;102;0.059;0.0297;0.2648;12.6
927;826;876.5;1023;1124;1073.5;101;0.0572;0.0297;0.2749;11.9
826;724;775;1124;1226;1175;102;0.0592;0.0297;0.2576;13.7
724;620;672;1226;1330;1278;104;0.0567;0.029;0.2794;12.2
620;505;562.5;1330;1445;1387.5;115;0.0585;0.0297;0.2775;12.5
505;386;445.5;1445;1564;1504.5;119;0.0579;0.0303;0.2662;11.9
386;271;328.5;1564;1679;1621.5;115;0.0591;0.0303;0.2583;12.3
271;167;219;1679;1783;1731;104;0.0593;0.0298;0.2538;13
167;63;115;1783;1887;1835;104;0.0524;0.0289;0.2652;15.6
63;-153;-45;1887;2103;1995;216;0.0617;0.0309;0.2574;12
-153;-352;-252.5;2103;2302;2202.5;199;0.0567;0.0294;0.2524;10.5