event.id;yr.top;yr.btm;yr.top.BP;yr.btm.BP;yr.int;depth;depth.we;depth.we.int;smb;SO4.peak;vol.flux;
DA1+2;1998;1982;-48;-32;16;0.94;0.357;0.357;22.3;NA;NA;Agung
DA3;1982;1964;-32;-14;18;1.97;0.756;0.399;22.2;374.5;14.97;Krakatau
DA4;1964;1885;-14;65;79;6.49;2.614;1.858;23.5;287.6;9.03;Cosiguina
DA5;1885;1836;65;114;49;9.1;3.753;1.139;23.2;255.2;6.57;Tambora
DA6;1836;1816;114;134;20;10.14;4.22;0.467;23.4;738.1;17.84;Unknown1809
DA7;1816;1810;134;140;6;10.42;4.349;0.129;21.5;355.4;12.04;
DA8;1810;1764;140;186;46;12.72;5.417;1.068;23.2;261.5;4.42;Unknown169
DA9;1764;1697;186;253;67;15.94;6.971;1.554;23.2;601.5;27.17;
DA10;1697;1678;253;272;19;16.82;7.409;0.438;23.1;183.2;3.34;
DA11;1678;1658;272;292;20;17.75;7.877;0.468;23.4;203.2;7.85;
DA12;1658;1644;292;306;14;18.36;8.191;0.314;22.4;233.3;5.67;
DA13;1644;1623;306;327;21;19.32;8.682;0.491;23.4;238.4;3.97;Huaynaputina
DA14;1623;1602;327;348;21;20.27;9.174;0.492;23.4;264.1;11.6;
DA15;1602;1597;348;353;5;20.48;9.286;0.112;22.4;296;12.71;
DA16;1597;1511;353;439;86;24.23;11.289;2.003;23.3;301.4;3.89;Kuwae
DA17;1511;1465;439;485;46;26.15;12.35;1.061;23.1;754.2;36.23;
DA18;1465;1388;485;562;77;29.32;14.152;1.802;23.4;189.5;2.56;
DA19;1388;1349;562;601;39;30.86;15.043;0.891;22.8;242.8;6.21;
DA20;1349;1287;601;663;62;33.29;16.484;1.441;23.2;374.5;14.94;
DA21;1287;1280;663;670;7;33.58;16.657;0.173;24.7;465.6;18.16;
DA22;1280;1272;670;678;8;33.88;16.838;0.181;22.6;335.3;10.82;Samalas
DA23;1272;1260;678;690;12;34.34;17.111;0.273;22.8;1011;63.27;
DA24;1260;1194;690;756;66;36.86;18.649;1.538;23.3;462.8;16.46;
DA25;1194;1135;756;815;59;39.04;20.011;1.362;23.1;238.4;5.41;
DA26;1135;1062;815;888;73;41.73;21.712;1.701;23.3;224.4;9.42;
DA27;1062;1051;888;899;11;42.13;21.968;0.256;23.3;214.4;3.64;
DA28;1051;1001;899;949;50;43.91;23.12;1.152;23;221.5;3.61;
DA29;1001;986;949;964;15;44.44;23.47;0.35;23.3;247.9;9.28;
DA30;986;954;964;996;32;45.58;24.214;0.744;23.3;230.9;4.33;
DA31;954;925;996;1025;29;46.58;24.88;0.666;23;190.7;1.95;
DA32;925;883;1025;1067;42;48.06;25.863;0.983;23.4;208.3;3;
DA33;883;877;1067;1073;6;48.26;25.995;0.132;22;219.2;7.59;
DA34;877;769;1073;1181;108;51.96;28.507;2.512;23.3;224.4;6.34;
DA35-36;769;764;1181;1186;5;52.12;28.616;0.109;21.8;NA;NA;
DA37;764;737;1186;1213;27;53.02;29.239;0.623;23.1;188.7;2.3;
DA38;737;698;1213;1252;39;54.33;30.146;0.907;23.3;544.4;45.58;
DA39;698;614;1252;1336;84;57.11;32.097;1.951;23.2;192.4;1.9;
DA40;614;588;1336;1362;26;57.97;32.711;0.614;23.6;705.2;42.71;
DA41;588;551;1362;1399;37;59.16;33.559;0.848;22.9;440.7;29.72;
DA42;551;541;1399;1409;10;59.48;33.787;0.228;22.8;239.5;9.24;
DA43;541;506;1409;1444;35;60.62;34.606;0.819;23.4;245.2;9.98;
DA44;506;477;1444;1473;29;61.55;35.281;0.675;23.3;245.5;5.31;
DA45;477;446;1473;1504;31;62.54;36.001;0.72;23.2;406.2;15.56;
DA46;446;369;1504;1581;77;64.96;37.772;1.771;23;173.8;3.31;
DA47;369;363;1581;1587;6;65.16;37.921;0.149;24.8;234.2;5.01;
DA48;363;315;1587;1635;48;66.68;39.045;1.124;23.4;257.3;11.38;
DA49;315;276;1635;1674;39;67.88;39.94;0.895;22.9;291.5;13.46;
DA50;276;250;1674;1700;26;68.7;40.549;0.609;23.4;247.6;6.68;
DA51;250;215;1700;1735;35;69.77;41.354;0.805;23;443.7;26.64;Taupo
DA52;215;181;1735;1769;34;70.83;42.155;0.801;23.6;320.2;22.66;
DA53;181;133;1769;1817;48;72.27;43.247;1.092;22.8;320.6;14.37;
DA54;133;106;1817;1844;27;73.09;43.873;0.626;23.2;185.6;4.71;
DA55;106;76;1844;1874;30;74.02;44.586;0.713;23.8;183.8;2.3;
DA56;76;68;1874;1882;8;74.26;44.771;0.185;23.1;233.8;15.82;
DA57;68;38;1882;1912;30;75.15;45.451;0.68;22.7;177.3;4.89;
DA58;38;-10;1912;1960;48;76.61;46.584;1.133;23.6;243.7;14.59;
DA59;-10;-37;1960;1987;27;77.4;47.196;0.612;22.7;182.2;4.89;
DA60;-37;-82;1987;2032;45;78.76;48.256;1.06;23.6;170;2.16;
DA61;-82;-93;2032;2043;11;79.07;48.498;0.242;22;219.4;8.8;
DA62;-93;-114;2043;2064;21;79.69;48.983;0.485;23.1;217.8;5.29;
DA63;-114;-138;2064;2088;24;80.41;49.551;0.568;23.7;257.5;9.69;
DA64;-138;-201;2088;2151;63;82.27;51.017;1.466;23.3;320.8;16.43;
DA65+66;-201;-242;2151;2192;41;83.44;51.946;0.929;22.7;NA;NA;
DA67;-242;-343;2192;2293;101;86.38;54.292;2.346;23.2;209.4;2.39;
DA68;-343;-387;2293;2337;44;87.66;55.331;1.039;23.6;231.6;12.85;
DA69;-387;-425;2337;2375;38;88.73;56.196;0.865;22.8;1009.8;156.74;
DA70;-425;-463;2375;2413;38;89.82;57.076;0.88;23.2;252.5;4.52;
DA71;-463;-475;2413;2425;12;90.16;57.353;0.277;23.1;220.9;9.58;
DA72;-475;-486;2425;2436;11;90.49;57.618;0.265;24.1;169;4.12;
DA73;-486;-514;2436;2464;28;91.27;58.258;0.64;22.9;250.7;4.64;
DA74;-514;-578;2464;2528;64;93.09;59.747;1.489;23.3;385.3;25.02;
DA75;-578;-646;2528;2596;68;95;61.324;1.577;23.2;280.7;10.16;
DA76;-646;-666;2596;2616;20;95.58;61.801;0.477;23.9;184.9;2.68;
DA77;-666;-722;2616;2672;56;97.15;63.1;1.299;23.2;279.3;12.64;
DA78;-722;-769;2672;2719;47;98.45;64.188;1.088;23.1;176.1;2.3;