depth;NO3;d15N
0;374;0.111
2.5;319;0.1298
5;159;0.1856
7.5;123;0.1891
10;67;0.2878
12.5;67;0.2936
15;66;0.2696
17.5;33;0.2723
20;38;0.2595
22.5;42;0.2651
25;40;0.282
27.5;18;0.3479
30;19;0.3554
32.5;21;0.3886
35;23;0.4022
37.5;24;0.4362
40;27;0.437
42.5;23;0.4309
45;22;0.4209
47.5;23;0.453
50;29;0.4608
52.5;30;0.4365
55;27;0.3745
57.5;20;0.3673
60;21;0.3629
62.5;19;0.374
65;18;0.3888
67.5;18;0.3706
70;18;0.3942
72.5;15;0.3949
75;15;0.3615
77.5;13;0.366
80;13;0.3965
82.5;14;0.3985
85;10;0.3356
87.5;10;0.3387
90;8;0.3372
92.5;8;0.3228
95;8;0.3324
97.5;9;0.3394
100;10;0.3669
102.5;10;0.3616
105;11;0.3522
107.5;10;0.3471
110;9;0.3448
112.5;14;0.3338
115;12;0.3436
117.5;12;0.3511
120;11;0.3293
122.5;11;0.3242
125;13;0.3318
127.5;12;0.3255
130;11;0.3542
132.5;11;0.3708
135;12;0.3532
137.5;11;0.365
140;13;0.3973
142.5;15;0.4026
145;12;0.3974
147.5;13;0.3329
150;14;0.3428
152.5;12;0.3709
155;12;0.3938
157.5;15;0.3374
160;13;0.343
162.5;10;0.3158
165;13;0.3112
167.5;10;0.3054
170;10;0.2919
172.5;9;0.2838
175;9;0.2832
177.5;10;0.2996
180;10;0.2979
182.5;11;0.3004
185;10;0.3076
187.5;14;0.311
190;11;0.3345
192.5;13;0.3412
195;13;0.3682
197.5;13;0.3449
200;12;0.3228
202.5;11;0.3098
205;11;0.2967
207.5;11;0.3083
210;12;0.318
212.5;12;0.3284
215;13;0.3335
217.5;14;0.3485
220;13;0.3611
222.5;14;0.3611
225;14;0.3337
227.5;13;0.3293
230;11;0.2952
232.5;12;0.3069
235;11;0.3161
237.5;12;0.3139
240;13;0.3287
242.5;14;0.347
245;15;0.3548
247.5;16;0.3526
250;16;0.3386
252.5;16;0.3326
255;15;0.3269
257.5;14;0.3221
260;15;0.3281
262.5;14;0.319
265;13;0.3152
267.5;13;0.3125
270;13;0.296
272.5;14;0.3058
275;13;0.2975
277.5;13;0.3091
280;14;0.3016
282.5;16;0.3189
285;16;0.3315
287.5;15;0.3413
290;16;0.3382
292.5;17;0.3345
295;16;0.3297
297.5;16;0.3126