site,alt.site,latitude,longitude,elev.rema,smb.direct,smb.mar.orig,less175,more110
S4,vostok,-78.47,106.8,3476,22.6,30.4,1,0
Plateau S,,-79.4,40.5,3660,32.4,31.2,1,0
S80core,,-80,40.5,3623,37.5,31.3,1,0
NDF,,-77.8,39.1,3763,30.9,33.2,1,0
Fuji Pass,,-77.4,41.5,3769,40.7,35,1,0
DF1,domeF,-77.3,39.7,3800,29.2,35.6,1,0
ZtoA-P7,domeA,-80.42,77.12,4091,22.9,40.9,1,0
DC04,domeC,-75.1,123.35,3233,26,41,1,0
MD590,,-76,41,3688,37.9,42.6,1,0
posteaiist.stop27,posteaiist-01,-74.75,124.43,3218,34,45,1,0
ZtoA-P4,,-76.29,77.03,2850,54.8,55.4,1,0
ZtoA-P5,,-77.91,77.13,3164,33.3,61.5,1,0
ZtoA-P6,,-79.02,76.98,3741,25.4,62.1,1,0
preeaiist.15,preeaiist-32,-73.04,128.84,3139,80,70,1,0
NMD304,,-73.1,42.9,3087,65.8,75.6,1,0
ZtoA-P3,,-73.4,77,2558,90.7,76.3,1,0
preeaiist.13,preeaiist-28,-72.04,131.08,3003,86,95.1,1,0
ZtoA-P2,,-71.81,77.89,2297,99.4,95.6,1,0
dml.pit.a,kohnen,-75,0.07,2892,75,97.6,1,0
IM0,,-70.7,44.3,2256,68.5,99.2,1,0
preeaiist.12,preeaiist-26,-71.57,132.02,2917,130,113.3,1,1
Z2,,-70,42.4,1750,113.5,116.9,1,1
ABN-DL1,ABN,-71.17,111.37,2679,130,122,1,1
preeaiist.01,preeaiist-02,-66.7,139.83,210,97.6,133.1,1,1
posteaiist.stop36,posteaiist-10,-70.93,133.24,2753,118,147.5,1,1
ZtoA-P1,,-71.13,77.31,2054,172,153.4,1,1
cph.d17,glacioclim.95,-66.72,139.72,364,446,178.1,0,1
posteaiist.stop38,posteaiist-12,-70.1,134.62,2521,198,197.5,0,1
posteaiist.asuma11,posteaiist-13,-69.63,135.28,2422,243,203.6,0,1
H128,,-69.4,41.6,1408,158.8,210.2,0,1
posteaiist.asuma10,posteaiist-14,-69.43,134.79,2430,240,232,0,1
H88,,-69.3,41.2,1269,207.3,245.5,0,1
cph.d24,glacioclim.162,-66.75,139.59,556,120,247.2,0,1
H108,,-69.3,41.4,1345,185,250.7,0,1
H68,,-69.2,41.1,1217,225.4,255.7,0,1
posteaiist.asuma09,posteaiist-15,-69.24,134.35,2523,219,256.6,0,1
posteaiist.asuma08,posteaiist-16,-69.07,134.41,2492,171,268.4,0,1
posteaiist.asuma07,posteaiist-17,-68.91,134.65,2437,273,271.1,0,1
H42,,-69.1,40.9,1116,234.9,272.5,0,1
posteaiist.asuma06,posteaiist-18,-68.68,135,2363,131,280.4,0,1
preeaiist.06,preeaiist-12,-68.59,135.14,2325,160,286.2,0,1
S30-JARE,,-69,40.7,977,271.9,288.6,0,1
posteaiist.asuma05,posteaiist-19,-68.48,135.31,2285,76,288.9,0,1
posteaiist.asuma04,posteaiist-20,-68.28,135.72,2195,215,304.2,0,1
asuma.2016.2,asuma.03,-68.15,136.12,2101,488,312.5,0,1
preeaiist.04,preeaiist-06,-67.89,136.77,1925,280,330.1,0,1
posteaiist.asuma01,posteaiist-23,-67.8,137.05,1889,321,337.4,0,1
posteaiist.asuma02,posteaiist-22,-67.94,135.6,1981,239,343,0,1
preeaiist.03,preeaiist-04,-67.57,137.92,1714,337.7,366,0,1
asuma.2016.1,glacioclim.c31,-67.54,138.01,1651,548,366.5,0,1
preeaiist.02,preeaiist-03,-67.25,138.87,1375,487.8,439,0,1