site;smb.mar.orig
S4;30.4
V09-1;30.4
V09-2;30.4
S30-DC-V;30.8
Plateau S;31.2
S80core;31.3
S80pit;31.3
S2;31.8
AGO5;32.3
eaiist.stop07;32.3
eaiist.stop08a;32.3
eaiist.stop06;32.5
eaiist.stop21;32.5
eaiist.stop08b;32.6
eaiist.stop22;32.6
eaiist.stop09;32.8
eaiist.stop05;33.2
NDF;33.2
eaiist.stop20;33.5
eaiist.stop23;33.7
eaiist.stop10;33.9
eaiist.stop04;34.3
Fuji Pass;35
eaiist.stop19;35.2
eaiist.stop24;35.3
DF1;35.6
DF2;35.6
S1;35.7
eaiist.stop03;36.1
eaiist.stop11;36.1
eaiist.stop25;36.2
eaiist.stop02;36.8
eaiist.stop26;36.8
eaiist.stop14;36.9
eaiist.stop12;37
eaiist.stop13b;37.4
eaiist.stop13a;37.6
Paleo;37.6
eaiist.stop01;38.3
ZtoA-P7;40.9
DC04;41
dc2010pits;41
DC07-1;41
DC07-2;41
DC07-3;41
dc14;41
DA2005;41.2
MD590;42.6
posteaiist.stop27;45
XXII;45.5
preeaiist.18;47.8
posteaiist.stop28;50.1
preeaiist.17;53.9
XVIII;54.8
ZtoA-P4;55.4
posteaiist.stop29;56
preeaiist.16;60.8
ZtoA-P5;61.5
posteaiist.stop30;62.1
ZtoA-P6;62.1
preeaiist.15;70
posteaiist.stop31;70.4
NMD304;75.6
ZtoA-P3;76.3
posteaiist.stop32;77.7
preeaiist.14;82.1
XVI;87.5
posteaiist.stop33;89.5
preeaiist.13;95.1
ZtoA-P2;95.6
dml.pit.a;97.6
dml.pit.b;97.6
IM0;99.2
posteaiist.stop34;103.6
XII;112.7
preeaiist.12;113.3
XIV;115.6
Z2;116.9
posteaiist.stop35;120.3
ABN-DL1;122
ABN-DL2;122
ABN-P4;122
ABN-P5;122
abn1314;122
preeaiist.01;133.1
CHIC-20;133.3
CHIC-13;137.3
CHIC-18;138.5
preeaiist.11;139.1
cph.d5;139.7
CHIC-11;139.9
CHIC-10;142.2
CHIC-15;145.1
posteaiist.stop36;147.5
ZtoA-P1;153.4
CHIC-05;154.1
CHIC-04;159.9
CHIC-07;161.7
IV;164
cph.d17;178.1
CHIC-01;180.5
posteaiist.stop37;180.5
preeaiist.10;180.5
X;192.6
posteaiist.stop38;197.5
preeaiist.09;201
posteaiist.asuma11;203.6
H128;210.2
posteaiist.asuma10;232
preeaiist.08;234.8
H88;245.5
cph1516;247.2
cph.d24;247.2
H108;250.7
VIII;251
H68;255.7
posteaiist.asuma09;256.6
posteaiist.asuma08;268.4
preeaiist.07;269.5
posteaiist.asuma07;271.1
H42;272.5
posteaiist.asuma06;280.4
VI;286.1
preeaiist.06;286.2
S30-JARE;288.6
posteaiist.asuma05;288.9
posteaiist.asuma04;304.2
preeaiist.05;310.3
asuma.2016.2;312.5
posteaiist.asuma03;316.8
preeaiist.04;330.1
posteaiist.asuma01;337.4
posteaiist.asuma02;343
posteaiist.samba;360.6
preeaiist.03;366
asuma.2016.1;366.5
preeaiist.02;439