depth.top;depth.btm;yr.top;yr.btm;yr.top.BP;yr.btm.BP;core;d15N;d15N.sd;smb
0;12.16;2008;1978;-58;-28;;;;
12.17;21.16;1978;1951;-28;-1;;;;
21.16;29.69;1951;1924;-1;26;;;;
29.69;42.55;1924;1880;26;70;;;;
42.56;53.92;1880;1837;70;113;;;;
53.93;60.96;1837;1810;113;140;;;;
60.97;69.85;1810;1774;140;176;;;;
69.85;81;1773;1725;177;225;;;;
81;92;1725;1676;225;274;;;;
92;103;1676;1632;274;318;;;;
103;114;1632;1586;318;364;;;;
114;126;;;;;;;;
126;138;;;;;;;;
114;126;1586;1533;364;417;WDC06A;0.0078;0.0001;236.46
126;138;1533;1482;417;468;WDC06A;0.0093;0.0006;240.35
138;151;1482;1422;468;528;WDC06A;0.0099;0.0002;227.62
151;163;1422;1369;528;581;WDC06A;0.0076;0.0002;239.04
163;176;1369;1313;581;637;WDC06A;0.0067;0.0001;242.19
176;188;1313;1258;637;692;WDC06A;0.0089;0.0003;230.74
188;200;1258;1207;692;743;WDC06A;0.0064;0.0002;249.47
200;213;1207;1149;743;801;WDC06A;0.0059;0.0003;237.06
213;226;1149;1093;801;857;WDC06A;0.0046;0.0001;249.07
226;240;1093;1032;857;918;WDC06A;0.0073;0.0003;247.96
240;254;1032;973;918;977;WDC06A;0.0071;0.0003;253.56
254;267;973;919;977;1031;WDC06A;0.0052;0;263.34
267;280;919;865;1031;1085;WDC06A;0.0075;0.0021;258.42
280;294;865;802;1085;1148;WDC06A;0.0049;0.0004;243.18
294;309;802;738;1148;1212;WDC06A;0.0058;0.0002;258.47
309;322;738;685;1212;1265;WDC06A;0.0058;0.0003;266.98
322;334;685;633;1265;1317;WDC06A;0.0073;0.0001;258.93
334;347;633;578;1317;1372;WDC06A;0.0043;0.0002;258.26
347;359;578;527;1372;1423;WDC06A;0.0053;0.0012;264.3
359;371;527;477;1423;1473;WDC06A;0.0048;0.0011;269.39
371;383;477;426;1473;1524;WDC06A;0.0041;0.0003;263.58
383;396;426;370;1524;1580;WDC06A;0.0034;0.0006;264.12
396;409;370;316;1580;1634;WDC06A;0.0015;0.0004;269.67
409;422;316;260;1634;1690;WDC06A;0.0036;0.0002;262.36
422;436;260;195;1690;1755;WDC06A;0.0055;0.0001;249.49
436;449;195;135;1755;1815;WDC06A;0.0048;0.0001;245.37
449;461;135;81;1815;1869;WDC06A;0.0056;0.0005;258.07
461;475;81;19;1869;1931;WDC06A;0.004;0;262.27
475;490;19;-49;1931;1999;WDC06A;0.0047;0;256.79
490;505;-49;-117;1999;2067;WDC06A;0.0041;0.0001;255.96
505;519;-117;-181;2067;2131;WDC06A;0.004;0;258.73
519;534;-181;-247;2131;2197;WDC06A;0.0043;0;269.31
534;549;-247;-309;2197;2259;WDC06A;0.0027;0.0003;286.24
549;564;-309;-372;2259;2322;WDC06A;0.0042;0.0002;282.17
564;577;-372;-427;2322;2377;WDC06A;0.0081;0.0001;280.55